Date,Open,High,Low,Close,Adj Close,Volume
2017-01-17,10.17,10.23,9.78,9.82,9.82,70275900.0
2017-01-18,9.54,10.1,9.42,9.88,9.88,51797600.0
2017-01-19,9.92,10.25,9.75,9.77,9.77,46151300.0
2017-01-20,9.88,9.96,9.67,9.75,9.75,27982100.0
2017-01-23,9.68,10.06,9.68,9.91,9.91,27905700.0
2017-01-24,9.95,10.49,9.95,10.44,10.44,43991200.0
2017-01-25,10.74,10.98,10.15,10.35,10.35,61778100.0
2017-01-26,10.35,10.66,10.3,10.52,10.52,35866600.0
2017-01-27,10.6,10.73,10.52,10.67,10.67,32719200.0
2017-01-30,10.62,10.68,10.3,10.61,10.61,37725000.0
2017-01-31,10.6,10.67,10.22,10.37,10.37,53704900.0
2017-02-01,10.9,12.14,10.81,12.06,12.06,165939300.0
2017-02-02,11.98,12.66,11.95,12.28,12.28,116324500.0
2017-02-03,12.37,12.5,12.04,12.24,12.24,60036700.0
2017-02-06,12.46,13.7,12.38,13.63,13.63,140474100.0
2017-02-07,14.05,14.27,13.06,13.29,13.29,158683800.0
2017-02-08,13.21,13.75,13.08,13.56,13.56,75942900.0
2017-02-09,13.78,13.89,13.4,13.42,13.42,73339900.0
2017-02-10,13.86,13.86,13.25,13.58,13.58,54579300.0
2017-02-13,13.7,13.95,13.38,13.49,13.49,57413100.0
2017-02-14,13.43,13.49,13.19,13.26,13.26,40404300.0
2017-02-15,13.2,13.44,13.15,13.3,13.3,33722300.0
2017-02-16,13.25,13.35,12.84,12.97,12.97,52502500.0
2017-02-17,12.79,13.14,12.6,13.13,13.13,40888000.0
2017-02-21,13.41,14.1,13.4,14.0,14.0,66357100.0
2017-02-22,14.3,14.5,14.04,14.28,14.28,71505000.0
2017-02-23,14.2,14.45,13.82,14.32,14.32,80317600.0
2017-02-24,14.0,14.32,13.86,14.12,14.12,46288600.0
2017-02-27,14.27,15.35,14.27,15.2,15.2,95422900.0
2017-02-28,15.45,15.55,14.35,14.46,14.46,141783000.0
2017-03-01,15.08,15.09,14.52,14.96,14.96,73450400.0
2017-03-02,14.59,14.78,13.87,13.9,13.9,104330900.0
2017-03-03,13.55,13.58,12.79,13.03,13.03,163395900.0
2017-03-06,13.0,13.34,12.38,13.04,13.04,117192600.0
2017-03-07,13.07,13.37,12.79,13.05,13.05,76666300.0
2017-03-08,13.25,13.55,13.1,13.22,13.22,71294700.0
2017-03-09,13.45,13.45,13.11,13.33,13.33,45244200.0
2017-03-10,13.5,13.93,13.45,13.91,13.91,65142200.0
2017-03-13,14.48,14.68,14.18,14.28,14.28,73078100.0
2017-03-14,14.0,14.15,13.64,14.1,14.1,52554500.0
2017-03-15,14.03,14.06,13.62,13.98,13.98,55179600.0
2017-03-16,13.79,13.88,13.65,13.65,13.65,44494800.0
2017-03-17,13.62,13.74,13.36,13.49,13.49,224892300.0
2017-03-20,13.68,14.5,13.54,14.4,14.4,91565600.0
2017-03-21,14.4,14.49,13.78,13.82,13.82,72552700.0
2017-03-22,13.7,14.15,13.55,14.1,14.1,61239500.0
2017-03-23,13.96,14.12,13.77,13.79,13.79,44549900.0
2017-03-24,14.16,14.18,13.54,13.7,13.7,50099500.0
2017-03-27,13.35,13.78,13.21,13.7,13.7,42686800.0
2017-03-28,13.75,13.86,13.55,13.69,13.69,37420200.0
2017-03-29,13.74,13.87,13.63,13.71,13.71,37863500.0
2017-03-30,13.73,14.05,13.65,14.05,14.05,44132800.0
2017-03-31,14.1,14.75,14.01,14.55,14.55,84566200.0
2017-04-03,14.6,14.74,14.3,14.64,14.64,48423700.0
2017-04-04,14.31,14.67,14.03,14.16,14.16,58413000.0
2017-04-05,14.28,14.64,14.1,14.17,14.17,58816700.0
2017-04-06,13.42,13.46,12.83,13.27,13.27,139500100.0
2017-04-07,13.33,13.68,13.22,13.52,13.52,70441000.0
2017-04-10,13.52,13.59,13.04,13.1,13.1,47178000.0
2017-04-11,13.02,13.29,12.71,13.1,13.1,59916600.0
2017-04-12,12.94,13.1,12.74,12.76,12.76,37385400.0
2017-04-13,12.51,12.72,12.22,12.31,12.31,53442600.0
2017-04-17,12.53,12.8,12.37,12.79,12.79,38188200.0
2017-04-18,12.63,12.97,12.58,12.95,12.95,37172000.0
2017-04-19,13.09,13.21,12.8,12.84,12.84,36491100.0
2017-04-20,12.98,13.15,12.88,13.11,13.11,41976100.0
2017-04-21,13.08,13.12,12.9,13.0,13.0,25689600.0
2017-04-24,13.23,13.23,13.05,13.13,13.13,36120300.0
2017-04-25,13.24,13.53,13.16,13.49,13.49,35881000.0
2017-04-26,13.42,13.53,13.22,13.41,13.41,36644500.0
2017-04-27,13.43,13.7,13.37,13.62,13.62,31327600.0
2017-04-28,13.73,13.76,13.16,13.3,13.3,50144600.0
2017-05-01,13.43,13.63,13.25,13.62,13.62,68036300.0
2017-05-02,11.73,11.76,10.3,10.32,10.32,268336500.0
2017-05-03,10.29,10.68,9.85,10.39,10.39,140899400.0
2017-05-04,10.55,10.55,9.94,10.1,10.1,77031400.0
2017-05-05,10.13,10.26,9.94,10.19,10.19,51759000.0
