Date,Open,High,Low,Close,Adj Close,Volume
2017-01-17,12.49,12.9,12.4,12.63,12.63,1147200
2017-01-18,12.67,12.81,12.33,12.44,12.44,831700
2017-01-19,12.45,12.73,12.42,12.49,12.49,774700
2017-01-20,12.6,12.72,12.44,12.54,12.54,716300
2017-01-23,12.49,12.7,12.22,12.63,12.63,1063000
2017-01-24,12.65,12.85,12.47,12.49,12.49,952900
2017-01-25,12.49,12.85,12.45,12.58,12.58,1025000
2017-01-26,12.58,12.8,12.48,12.53,12.53,841300
2017-01-27,12.5,12.73,12.5,12.58,12.58,808000
2017-01-30,12.5,12.57,11.68,11.75,11.75,2134100
2017-01-31,11.7,11.72,11.21,11.71,11.71,1563500
2017-02-01,11.81,11.97,11.65,11.96,11.96,847300
2017-02-02,11.89,12.05,11.7,11.85,11.85,756900
2017-02-03,11.82,12.24,11.82,12.16,12.16,983300
2017-02-06,12.12,12.23,11.89,12.1,12.1,587200
2017-02-07,12.13,12.18,11.82,12.02,12.02,892300
2017-02-08,11.93,11.99,11.75,11.95,11.95,797400
2017-02-09,11.92,12.12,11.74,12.02,12.02,1051500
2017-02-10,12.09,12.54,12.02,12.47,12.47,1349200
2017-02-13,12.47,13.27,12.47,13.11,13.11,1644300
2017-02-14,13.08,13.67,12.87,13.63,13.63,1290500
2017-02-15,13.64,13.88,13.49,13.79,13.79,1181800
2017-02-16,13.66,13.94,13.26,13.41,13.41,933100
2017-02-17,13.27,14.29,13.16,14.12,14.12,1863600
2017-02-21,14.3,15.85,14.15,15.36,15.36,3888900
2017-02-22,14.97,14.99,13.98,14.08,14.08,3546600
2017-02-23,14.3,14.79,14.11,14.7,14.7,1888800
2017-02-24,14.4,14.93,14.26,14.8,14.8,1441200
2017-02-27,14.74,15.15,14.5,15.13,15.13,1143600
2017-02-28,14.93,15.0,14.45,14.72,14.72,1456800
2017-03-01,14.94,14.98,14.33,14.45,14.45,1113900
2017-03-02,14.45,14.93,14.38,14.67,14.67,1354900
