Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,12.05,12.1,11.22,11.4,11.4,500800
2017-01-04,11.53,11.61,11.09,11.3,11.3,778200
2017-01-05,11.32,11.8,11.07,11.6,11.6,645100
2017-01-06,11.56,11.73,11.17,11.68,11.68,270000
2017-01-09,11.71,11.95,11.43,11.68,11.68,321600
2017-01-10,11.92,13.37,11.92,13.13,13.13,1233300
2017-01-11,13.12,14.03,13.12,13.61,13.61,860300
2017-01-12,13.55,13.9,13.39,13.8,13.8,572400
2017-01-13,13.8,14.05,13.58,13.94,13.94,176300
2017-01-17,13.89,13.98,13.203,13.41,13.41,326500
2017-01-18,13.42,13.54,13.04,13.36,13.36,309700
2017-01-19,13.41,13.76,13.38,13.58,13.58,302100
2017-01-20,13.65,13.8,13.5,13.63,13.63,450300
2017-01-23,13.62,13.86,13.38,13.56,13.56,547900
2017-01-24,13.97,14.36,13.69,13.9,13.9,474400
2017-01-25,13.99,14.3,13.71,13.92,13.92,451400
2017-01-26,13.93,13.93,13.32,13.32,13.32,353400
2017-01-27,13.37,13.61,13.02,13.4,13.4,400900
2017-01-30,13.35,13.41,13.13,13.17,13.17,211600
2017-01-31,13.09,13.186,12.83,13.11,13.11,161600
2017-02-01,13.22,13.45,13.08,13.2,13.2,91700
2017-02-02,13.23,13.37,13.09,13.14,13.14,119100
2017-02-03,13.2,13.8,13.08,13.57,13.57,229500
2017-02-06,13.64,14.36,13.54,14.25,14.25,331800
2017-02-07,14.2,15.0,14.12,14.38,14.38,723700
2017-02-08,14.46,14.91,13.82,14.45,14.45,843600
2017-02-09,14.55,15.0,14.5,14.93,14.93,417400
2017-02-10,14.44,15.4,14.44,15.01,15.01,502400
2017-02-13,15.11,15.31,14.93,15.2,15.2,354400
2017-02-14,15.27,15.47,15.04,15.38,15.38,432000
2017-02-15,15.38,15.46,15.21,15.34,15.34,296500
2017-02-16,15.35,15.59,15.2,15.45,15.45,429400
2017-02-17,15.33,15.375,14.8,14.95,14.95,273300
2017-02-21,14.98,16.200001,14.98,15.89,15.89,1076400
2017-02-22,16.0,16.190001000000002,14.673,15.42,15.42,2050600
2017-02-23,15.41,15.41,13.93,14.18,14.18,843700
2017-02-24,14.08,14.85,13.87,14.48,14.48,448900
2017-02-27,14.48,14.52,14.15,14.35,14.35,131600
2017-02-28,14.18,14.71,14.18,14.38,14.38,240200
2017-03-01,14.39,14.78,14.26,14.54,14.54,350100
2017-03-02,14.31,14.65,14.26,14.37,14.37,200800
2017-03-03,14.37,14.49,13.97,14.04,14.04,232400
2017-03-06,13.99,14.285,13.92,14.08,14.08,200600
2017-03-07,13.97,14.87,13.97,14.75,14.75,270200
2017-03-08,14.63,15.55,14.63,15.49,15.49,872100
2017-03-09,15.29,15.94,15.2,15.47,15.47,681700
2017-03-10,15.4,15.64,15.02,15.23,15.23,307300
2017-03-13,15.41,15.84,15.065,15.41,15.41,353600
2017-03-14,15.26,15.58,14.89,15.25,15.25,310500
2017-03-15,15.19,15.88,15.02,15.61,15.61,376900
2017-03-16,15.53,15.73,15.4,15.5,15.5,289300
2017-03-17,15.7,15.75,15.03,15.19,15.19,622400
2017-03-20,15.27,15.485,14.92,15.13,15.13,479600
2017-03-21,15.1,15.23,14.04,14.1,14.1,530700
2017-03-22,14.02,14.49,13.95,14.33,14.33,445400
