Date,Open,High,Low,Close,Adj Close,Volume
2017-01-19,12.68,12.68,12.23,12.28,12.28,176600
2017-01-20,12.27,12.5,12.27,12.37,12.37,116100
2017-01-23,12.39,12.44,12.22,12.29,12.29,78200
2017-01-24,12.31,12.39,12.12,12.33,12.33,206800
2017-01-25,12.4,12.5,12.26,12.29,12.29,177600
2017-01-26,12.22,12.34,12.04,12.08,12.08,156800
2017-01-27,12.04,12.1,11.74,11.86,11.86,248700
2017-01-30,11.82,11.92,11.55,11.57,11.57,303600
2017-01-31,11.5,11.7,11.5,11.56,11.56,217700
2017-02-01,11.56,11.7,11.42,11.45,11.45,173900
2017-02-02,11.4,11.53,11.29,11.42,11.42,122800
2017-02-03,11.43,11.6,11.43,11.53,11.53,212600
2017-02-06,11.53,11.72,11.25,11.28,11.28,185200
2017-02-07,11.35,11.61,11.2,11.45,11.45,205000
2017-02-08,11.37,11.44,11.15,11.32,11.32,124800
2017-02-09,11.33,11.5,11.22,11.46,11.46,191900
2017-02-10,11.45,11.77,11.4,11.66,11.66,144500
2017-02-13,11.67,11.77,11.47,11.5,11.5,113400
2017-02-14,11.55,11.64,11.33,11.36,11.36,145200
2017-02-15,11.38,11.45,11.3,11.37,11.37,154400
2017-02-16,11.4,11.42,11.16,11.2,11.2,268200
2017-02-17,11.22,11.49,11.2,11.38,11.38,366200
2017-02-21,11.45,12.19,11.42,11.98,11.98,294300
2017-02-22,11.98,12.06,11.8,11.98,11.98,148800
2017-02-23,12.0,12.02,11.89,11.93,11.93,164900
2017-02-24,11.8,11.89,11.63,11.67,11.67,202000
2017-02-27,11.71,12.0,11.65,11.79,11.79,182700
2017-02-28,11.72,11.89,11.58,11.68,11.68,192600
2017-03-01,11.84,12.11,11.48,12.11,12.11,318400
2017-03-02,12.37,13.2,12.21,12.87,12.87,812800
2017-03-03,13.06,13.22,12.78,13.04,13.04,313700
2017-03-06,12.87,13.11,12.69,13.09,13.09,356000
2017-03-07,13.02,13.36,13.02,13.33,13.33,289800
2017-03-08,13.34,13.42,12.86,12.87,12.87,382400
2017-03-09,12.83,12.9,12.67,12.68,12.68,187300
2017-03-10,12.82,12.85,12.44,12.67,12.67,157200
2017-03-13,12.66,12.88,12.41,12.59,12.59,139600
2017-03-14,12.59,12.59,12.3,12.44,12.44,237000
2017-03-15,12.38,12.7,12.38,12.64,12.64,174900
2017-03-16,12.73,12.96,12.5,12.67,12.67,212200
2017-03-17,12.59,12.88,12.59,12.77,12.77,327200
2017-03-20,12.79,12.8,12.49,12.66,12.66,167900
2017-03-21,12.69,12.72,12.43,12.57,12.57,319100
2017-03-22,12.51,12.87,12.25,12.83,12.83,562600
2017-03-23,12.93,13.91,12.86,13.88,13.88,940200
2017-03-24,13.9,14.0,13.65,13.76,13.76,342600
2017-03-27,13.61,13.84,13.33,13.78,13.78,373100
2017-03-28,13.72,14.23,13.62,13.99,13.99,443800
2017-03-29,13.92,14.2,13.79,13.81,13.81,367100
2017-03-30,13.85,14.01,13.8,13.94,13.94,324600
2017-03-31,13.98,14.17,13.86,14.11,14.11,457900
2017-04-03,14.07,14.12,13.89,13.9,13.9,318900
2017-04-04,13.85,13.95,13.85,13.95,13.95,223200
2017-04-05,14.02,14.28,13.96,14.06,14.06,312400
2017-04-06,14.03,14.19,13.9,14.15,14.15,508200
2017-04-07,14.02,14.15,13.96,14.03,14.03,232000
2017-04-10,14.03,14.11,13.72,13.85,13.85,252200
2017-04-11,13.82,14.1,13.71,14.08,14.08,147200
2017-04-12,14.06,14.1,13.89,14.02,14.02,204600
2017-04-13,13.99,14.1,13.77,13.91,13.91,181300
2017-04-17,13.99,14.12,13.92,14.1,14.1,152500
2017-04-18,14.07,14.2,13.96,14.15,14.15,125000
2017-04-19,14.14,14.34,14.09,14.18,14.18,114500
2017-04-20,14.21,14.39,14.12,14.35,14.35,150800
2017-04-21,14.31,14.56,14.2,14.37,14.37,217600
2017-04-24,14.58,14.88,14.5,14.72,14.72,278200
2017-04-25,14.78,14.91,14.63,14.66,14.66,279600
2017-04-26,14.62,14.67,14.5,14.51,14.51,231900
2017-04-27,14.52,14.68,14.47,14.57,14.57,278800
2017-04-28,14.64,15.13,14.54,15.05,15.05,378500
2017-05-01,15.17,15.39,15.05,15.38,15.38,253400
2017-05-02,15.45,15.48,15.24,15.34,15.34,164100
2017-05-03,15.25,15.26,14.45,14.95,14.95,294600
2017-05-04,15.11,15.46,14.74,14.91,14.91,233500
2017-05-05,15.21,15.85,14.74,14.86,14.86,279600
2017-05-08,14.96,15.1,14.72,14.89,14.89,228500
2017-05-09,14.89,15.04,14.69,14.78,14.78,218900
2017-05-10,14.8,14.8,14.52,14.66,14.66,169700
2017-05-11,14.69,14.69,14.46,14.57,14.57,232800
2017-05-12,14.53,14.55,14.12,14.17,14.17,194900
2017-05-15,14.19,14.35,14.02,14.09,14.09,153600
2017-05-16,14.04,14.16,13.75,14.05,14.05,328100
2017-05-17,13.9,13.95,13.55,13.56,13.56,258600
2017-05-18,13.59,13.89,13.32,13.86,13.86,291900
2017-05-19,13.86,13.91,13.67,13.74,13.74,191800
2017-05-22,13.74,13.84,13.51,13.61,13.61,121700
2017-05-23,13.62,13.85,13.53,13.76,13.76,110700
2017-05-24,13.8,14.04,13.69,13.72,13.72,189200
2017-05-25,13.72,13.83,13.54,13.62,13.62,129200
2017-05-26,13.63,13.93,13.63,13.91,13.91,191500
2017-05-30,13.81,13.84,13.56,13.77,13.77,115100
2017-05-31,13.8,14.05,13.49,14.02,14.02,279100
2017-06-01,14.09,14.65,14.03,14.64,14.64,334700
2017-06-02,14.6,14.85,14.59,14.71,14.71,407100
2017-06-05,14.61,14.85,14.56,14.65,14.65,179200
2017-06-06,14.51,14.8,14.39,14.7,14.7,338400
2017-06-07,14.7,15.0,14.55,14.99,14.99,784100
2017-06-08,15.0,15.76,14.99,15.7,15.7,315000
2017-06-09,15.65,16.059998999999998,15.48,15.76,15.76,402600
2017-06-12,15.78,16.389999,15.54,15.73,15.73,242000
2017-06-13,15.85,16.08,15.62,15.72,15.72,164100
2017-06-14,15.72,15.73,15.53,15.71,15.71,224500
2017-06-15,15.5,15.97,15.5,15.89,15.89,184100
2017-06-16,15.74,16.02,15.64,15.78,15.78,431100
2017-06-19,15.89,16.040001,15.81,16.01,16.01,141000
2017-06-20,16.049999,16.15,15.86,15.86,15.86,200300
2017-06-21,15.94,16.01,15.76,15.81,15.81,199000
2017-06-22,15.8,15.95,15.52,15.7,15.7,185500
