Date,Open,High,Low,Close,Adj Close,Volume,300ma,100ma,40ma,20ma
2017-01-03,6.52,6.53,6.1,6.15,6.15,4972700,6.15,6.15,6.15,6.15
2017-01-04,6.14,6.28,6.1,6.25,6.25,1923700,6.2,6.2,6.2,6.2
2017-01-05,6.32,6.39,6.19,6.33,6.33,1983200,6.243333333333333,6.243333333333333,6.243333333333333,6.243333333333333
2017-01-06,6.36,6.41,6.28,6.32,6.32,1178700,6.2625,6.2625,6.2625,6.2625
2017-01-09,6.22,6.22,6.05,6.06,6.06,3116600,6.2219999999999995,6.2219999999999995,6.2219999999999995,6.2219999999999995
2017-01-10,6.1,6.11,5.93,5.94,5.94,3307300,6.175,6.175,6.175,6.175
2017-01-11,6.04,6.21,5.94,6.14,6.14,3378600,6.17,6.17,6.17,6.17
2017-01-12,6.29,6.3,6.2,6.23,6.23,2346100,6.1775,6.1775,6.1775,6.1775
2017-01-13,6.16,6.23,6.12,6.15,6.15,1310400,6.174444444444444,6.174444444444444,6.174444444444444,6.174444444444444
2017-01-17,6.27,6.28,6.13,6.13,6.13,1807500,6.17,6.17,6.17,6.17
2017-01-18,5.99,6.12,5.95,6.01,6.01,3971000,6.155454545454546,6.155454545454546,6.155454545454546,6.155454545454546
2017-01-19,6.06,6.09,5.96,6.01,6.01,2242500,6.143333333333334,6.143333333333334,6.143333333333334,6.143333333333334
2017-01-20,6.17,6.2,6.12,6.12,6.12,2822200,6.141538461538463,6.141538461538463,6.141538461538463,6.141538461538463
2017-01-23,6.0,6.12,6.0,6.08,6.08,1376100,6.137142857142858,6.137142857142858,6.137142857142858,6.137142857142858
2017-01-24,6.11,6.19,6.1,6.11,6.11,2612200,6.135333333333334,6.135333333333334,6.135333333333334,6.135333333333334
2017-01-25,6.04,6.17,6.04,6.09,6.09,2001600,6.132500000000001,6.132500000000001,6.132500000000001,6.132500000000001
2017-01-26,6.16,6.25,6.15,6.22,6.22,3864700,6.13764705882353,6.13764705882353,6.13764705882353,6.13764705882353
2017-01-27,6.15,6.16,6.05,6.14,6.14,2186600,6.137777777777779,6.137777777777779,6.137777777777779,6.137777777777779
2017-01-30,6.1,6.1,6.04,6.09,6.09,2220600,6.135263157894738,6.135263157894738,6.135263157894738,6.135263157894738
2017-01-31,6.13,6.19,6.06,6.06,6.06,2829500,6.131500000000001,6.131500000000001,6.131500000000001,6.131500000000001
2017-02-01,6.14,6.22,6.08,6.18,6.18,3833900,6.133809523809525,6.133809523809525,6.133809523809525,6.133000000000001
2017-02-02,6.24,6.25,6.15,6.2,6.2,2628700,6.136818181818183,6.136818181818183,6.136818181818183,6.1305000000000005
2017-02-03,6.16,6.26,6.16,6.21,6.21,2314700,6.1400000000000015,6.1400000000000015,6.1400000000000015,6.124500000000001
2017-02-06,6.19,6.21,6.09,6.11,6.11,2197800,6.138750000000002,6.138750000000002,6.138750000000002,6.114000000000002
2017-02-07,6.0,6.04,5.98,6.03,6.03,5352100,6.134400000000002,6.134400000000002,6.134400000000002,6.112500000000002
2017-02-08,5.97,6.08,5.92,6.03,6.03,2196900,6.130384615384617,6.130384615384617,6.130384615384617,6.117000000000002
2017-02-09,6.12,6.13,6.05,6.1,6.1,2199100,6.1292592592592605,6.1292592592592605,6.1292592592592605,6.115000000000001
2017-02-10,6.21,6.23,6.17,6.19,6.19,4976600,6.131428571428573,6.131428571428573,6.131428571428573,6.113000000000001
2017-02-13,6.11,6.12,6.06,6.09,6.09,2647600,6.130000000000002,6.130000000000002,6.130000000000002,6.110000000000001
2017-02-14,6.17,6.18,6.09,6.12,6.12,2339400,6.129666666666668,6.129666666666668,6.129666666666668,6.1095000000000015
2017-02-15,6.07,6.15,6.07,6.1,6.1,2167000,6.128709677419356,6.128709677419356,6.128709677419356,6.114000000000001
2017-02-16,6.14,6.15,6.04,6.14,6.14,2281200,6.129062500000001,6.129062500000001,6.129062500000001,6.120500000000001
2017-02-17,6.07,6.13,6.06,6.12,6.12,1333200,6.12878787878788,6.12878787878788,6.12878787878788,6.1205
2017-02-21,6.27,6.28,6.19,6.2,6.2,4787600,6.130882352941177,6.130882352941177,6.130882352941177,6.126499999999999
2017-02-22,6.1,6.11,6.07,6.1,6.1,2782800,6.13,6.13,6.13,6.1259999999999994
2017-02-23,6.24,6.27,6.18,6.2,6.2,3212200,6.131944444444445,6.131944444444445,6.131944444444445,6.1315
2017-02-24,6.14,6.19,6.13,6.15,6.15,933400,6.132432432432433,6.132432432432433,6.132432432432433,6.128
2017-02-27,6.21,6.22,6.14,6.16,6.16,1629200,6.133157894736843,6.133157894736843,6.133157894736843,6.129
2017-02-28,6.08,6.15,6.04,6.14,6.14,3885400,6.133333333333333,6.133333333333333,6.133333333333333,6.1315
2017-03-01,6.18,6.2,6.1,6.1,6.1,2423800,6.132499999999999,6.132499999999999,6.132499999999999,6.1335
2017-03-02,6.0,6.05,5.96,5.98,5.98,5623500,6.128780487804877,6.128780487804877,6.1282499999999995,6.123499999999998
2017-03-03,5.99,6.06,5.98,6.05,6.05,1475000,6.126904761904761,6.126904761904761,6.12325,6.115999999999999
2017-03-06,6.07,6.09,6.02,6.05,6.05,1250100,6.1251162790697675,6.1251162790697675,6.116249999999999,6.107999999999999
2017-03-07,6.1,6.11,6.02,6.02,6.02,947600,6.122727272727272,6.122727272727272,6.10875,6.103499999999999
2017-03-08,5.93,5.99,5.59,5.61,5.61,7125200,6.1113333333333335,6.1113333333333335,6.0975,6.082499999999999
2017-03-09,5.53,5.56,5.37,5.52,5.52,6352500,6.098478260869564,6.098478260869564,6.087000000000001,6.056999999999999
2017-03-10,5.52,5.52,5.33,5.35,5.35,3418200,6.082553191489362,6.082553191489362,6.0672500000000005,6.019499999999999
2017-03-13,5.33,5.38,5.3,5.34,5.34,2108100,6.067083333333333,6.067083333333333,6.045000000000001,5.9769999999999985
2017-03-14,5.23,5.29,5.16,5.27,5.27,3585700,6.050816326530612,6.050816326530612,6.0230000000000015,5.935999999999998
2017-03-15,5.36,5.42,5.31,5.39,5.39,2311700,6.0375999999999985,6.0375999999999985,6.004500000000001,5.899499999999998
2017-03-16,5.41,5.41,5.31,5.39,5.39,4451000,6.024901960784312,6.024901960784312,5.989000000000001,5.863999999999999
2017-03-17,5.43,5.43,5.35,5.37,5.37,843300,6.012307692307691,6.012307692307691,5.973000000000001,5.825499999999999
2017-03-20,5.3,5.38,5.28,5.33,5.33,1018500,5.999433962264149,5.999433962264149,5.9532500000000015,5.785999999999999
2017-03-21,5.34,5.36,5.18,5.22,5.22,1889100,5.9849999999999985,5.9849999999999985,5.931750000000001,5.736999999999998
2017-03-22,5.16,5.23,5.06,5.22,5.22,2998400,5.971090909090909,5.971090909090909,5.9095,5.692999999999999
2017-03-23,5.17,5.18,5.12,5.14,5.14,1370800,5.956249999999999,5.956249999999999,5.88575,5.639999999999999
2017-03-24,5.16,5.2,5.13,5.2,5.2,1143000,5.94298245614035,5.94298245614035,5.86025,5.5924999999999985
2017-03-27,5.09,5.16,5.05,5.16,5.16,1669000,5.929482758620689,5.929482758620689,5.83575,5.542499999999999
2017-03-28,5.22,5.3,5.2,5.21,5.21,2289400,5.917288135593219,5.917288135593219,5.813750000000001,5.495999999999998
2017-03-29,5.24,5.4,5.24,5.39,5.39,2572600,5.908499999999999,5.908499999999999,5.797,5.460499999999998
2017-03-30,5.45,5.56,5.43,5.54,5.54,3992500,5.902459016393442,5.902459016393442,5.781,5.438499999999999
2017-03-31,5.49,5.6,5.49,5.58,5.58,1210600,5.897258064516128,5.897258064516128,5.7655,5.414999999999998
2017-04-03,5.57,5.57,5.49,5.52,5.52,844400,5.89126984126984,5.89126984126984,5.7482500000000005,5.388499999999999
2017-04-04,5.56,5.65,5.54,5.62,5.62,1512200,5.887031249999999,5.887031249999999,5.736,5.368499999999999
2017-04-05,5.71,5.75,5.58,5.6,5.6,2219300,5.8826153846153835,5.8826153846153835,5.72525,5.3679999999999986
2017-04-06,5.69,5.73,5.68,5.72,5.72,2282400,5.880151515151515,5.880151515151515,5.717499999999999,5.377999999999998
2017-04-07,5.73,5.8,5.73,5.79,5.79,1559900,5.878805970149254,5.878805970149254,5.70975,5.3999999999999995
2017-04-10,5.87,5.92,5.85,5.91,5.91,2067700,5.8792647058823535,5.8792647058823535,5.70275,5.428499999999999
2017-04-11,5.91,5.97,5.85,5.93,5.93,2770300,5.880000000000001,5.880000000000001,5.6987499999999995,5.461499999999999
2017-04-12,5.98,6.0,5.87,5.89,5.89,1524200,5.880142857142857,5.880142857142857,5.693,5.486499999999999
2017-04-13,5.94,5.96,5.89,5.92,5.92,1792100,5.880704225352113,5.880704225352113,5.6884999999999994,5.512999999999999
2017-04-17,5.91,5.92,5.84,5.85,5.85,1033400,5.880277777777779,5.880277777777779,5.6812499999999995,5.536999999999998
2017-04-18,5.81,5.88,5.77,5.85,5.85,1540200,5.879863013698631,5.879863013698631,5.674499999999999,5.562999999999998
2017-04-19,5.84,5.85,5.48,5.55,5.55,3044000,5.875405405405407,5.875405405405407,5.65825,5.579499999999998
2017-04-20,5.52,5.58,5.47,5.48,5.48,1731700,5.870133333333334,5.870133333333334,5.6427499999999995,5.5924999999999985
2017-04-21,5.48,5.49,5.28,5.33,5.33,2515500,5.863026315789475,5.863026315789475,5.621,5.6019999999999985
2017-04-24,5.31,5.32,5.26,5.28,5.28,1320200,5.855454545454546,5.855454545454546,5.59925,5.605999999999998
2017-04-25,5.27,5.38,5.24,5.37,5.37,1905800,5.84923076923077,5.84923076923077,5.5795,5.6164999999999985
2017-04-26,5.28,5.43,5.26,5.31,5.31,1886800,5.84240506329114,5.84240506329114,5.558750000000001,5.621499999999999
2017-04-27,5.21,5.3,5.14,5.3,5.3,3235500,5.835625000000001,5.835625000000001,5.538750000000001,5.616999999999999
2017-04-28,5.31,5.35,5.24,5.29,5.29,2156300,5.828888888888891,5.828888888888891,5.521500000000001,5.604499999999999
2017-05-01,5.26,5.27,5.21,5.23,5.23,1118400,5.82158536585366,5.82158536585366,5.501,5.586999999999999
2017-05-02,5.23,5.24,5.04,5.07,5.07,3381500,5.812530120481929,5.812530120481929,5.4765,5.564499999999999
2017-05-03,5.09,5.14,5.03,5.1,5.1,2436200,5.804047619047621,5.804047619047621,5.4535,5.538499999999998
2017-05-04,4.97,4.98,4.77,4.82,4.82,10792600,5.792470588235296,5.792470588235296,5.433749999999999,5.499499999999999
2017-05-05,4.81,4.97,4.81,4.94,4.94,3946100,5.782558139534885,5.782558139534885,5.419249999999999,5.460499999999999
2017-05-08,4.95,5.0,4.86,4.95,4.95,2117300,5.7729885057471275,5.7729885057471275,5.409249999999998,5.418499999999999
2017-05-09,4.93,4.97,4.85,4.92,4.92,2430100,5.763295454545456,5.763295454545456,5.398749999999998,5.368999999999999
2017-05-10,5.0,5.15,4.98,5.11,5.11,3845500,5.7559550561797765,5.7559550561797765,5.394749999999998,5.3279999999999985
2017-05-11,5.19,5.22,5.13,5.17,5.17,3012500,5.749444444444445,5.749444444444445,5.389249999999999,5.291999999999999
2017-05-12,5.19,5.2,5.11,5.18,5.18,1044100,5.743186813186814,5.743186813186814,5.383999999999999,5.254999999999999
