Date,Open,High,Low,Close,Volume,Date
2018-03-27 10:50:00,61.085,61.15,61.04,61.09,62240.0,2018-03-27 10:50:00
2018-03-27 10:55:00,61.03,61.105,61.0035,61.08,57321.0,2018-03-27 10:55:00
2018-03-27 11:00:00,60.945,61.11,60.9,61.035,120777.0,2018-03-27 11:00:00
2018-03-27 11:05:00,60.95,61.015,60.94,60.95,59486.0,2018-03-27 11:05:00
2018-03-27 11:10:00,60.99,61.025,60.94,60.94,79117.0,2018-03-27 11:10:00
2018-03-27 11:15:00,60.97,61.015,60.9248,60.99,123415.0,2018-03-27 11:15:00
2018-03-27 11:20:00,60.91,61.01,60.85,60.97,113589.0,2018-03-27 11:20:00
2018-03-27 11:25:00,60.78,60.9,60.72,60.9,69464.0,2018-03-27 11:25:00
2018-03-27 11:30:00,60.86,60.91,60.74,60.78,52598.0,2018-03-27 11:30:00
2018-03-27 11:35:00,60.9,60.98,60.8,60.855,86397.0,2018-03-27 11:35:00
2018-03-27 11:40:00,60.9544,61.02,60.895,60.895,40756.0,2018-03-27 11:40:00
2018-03-27 11:45:00,60.915,60.965,60.84,60.96,66445.0,2018-03-27 11:45:00
2018-03-27 11:50:00,61.02,61.03,60.87,60.91,56595.0,2018-03-27 11:50:00
2018-03-27 11:55:00,61.235,61.27,61.01,61.03,60293.0,2018-03-27 11:55:00
2018-03-27 12:00:00,61.17,61.265,61.115,61.25,112897.0,2018-03-27 12:00:00
2018-03-27 12:05:00,61.19,61.225,61.14,61.1701,33947.0,2018-03-27 12:05:00
2018-03-27 12:10:00,61.1,61.23,61.07,61.19,36929.0,2018-03-27 12:10:00
2018-03-27 12:15:00,61.03,61.105,61.0,61.105,40442.0,2018-03-27 12:15:00
2018-03-27 12:20:00,61.205,61.22,61.015,61.04,62197.0,2018-03-27 12:20:00
2018-03-27 12:25:00,61.2,61.27,61.17,61.205,38372.0,2018-03-27 12:25:00
2018-03-27 12:30:00,61.2256,61.275,61.18,61.19,28960.0,2018-03-27 12:30:00
2018-03-27 12:35:00,61.24,61.24,61.15,61.22,17269.0,2018-03-27 12:35:00
2018-03-27 12:40:00,61.24,61.25,61.18,61.235,40206.0,2018-03-27 12:40:00
2018-03-27 12:45:00,61.295,61.31,61.23,61.245,40873.0,2018-03-27 12:45:00
2018-03-27 12:50:00,61.38,61.39,61.26,61.29,57260.0,2018-03-27 12:50:00
2018-03-27 12:55:00,61.42,61.45,61.34,61.37,52493.0,2018-03-27 12:55:00
2018-03-27 13:00:00,61.49,61.5225,61.375,61.43,64612.0,2018-03-27 13:00:00
2018-03-27 13:05:00,61.49,61.51,61.425,61.51,28223.0,2018-03-27 13:05:00
2018-03-27 13:10:00,61.53,61.535,61.4401,61.5,31202.0,2018-03-27 13:10:00
2018-03-27 13:15:00,61.57,61.575,61.48,61.53,65217.0,2018-03-27 13:15:00
2018-03-27 13:20:00,61.47,61.59,61.43,61.56,55069.0,2018-03-27 13:20:00
2018-03-27 13:25:00,61.6,61.62,61.475,61.48,55672.0,2018-03-27 13:25:00
2018-03-27 13:30:00,61.575,61.6,61.545,61.6,30709.0,2018-03-27 13:30:00
2018-03-27 13:35:00,61.5055,61.58,61.48,61.58,29346.0,2018-03-27 13:35:00
2018-03-27 13:40:00,61.48,61.505,61.43,61.5,26189.0,2018-03-27 13:40:00
2018-03-27 13:45:00,61.39,61.47,61.335,61.465,32615.0,2018-03-27 13:45:00
2018-03-27 13:50:00,61.35,61.395,61.31,61.39,24647.0,2018-03-27 13:50:00
2018-03-27 13:55:00,61.4,61.44,61.31,61.36,36143.0,2018-03-27 13:55:00
2018-03-27 14:00:00,61.41,61.47,61.36,61.39,26182.0,2018-03-27 14:00:00
2018-03-27 14:05:00,61.39,61.42,61.32,61.42,48394.0,2018-03-27 14:05:00
2018-03-27 14:10:00,61.43,61.45,61.35,61.39,48668.0,2018-03-27 14:10:00
2018-03-27 14:15:00,61.43,61.5,61.42,61.44,53496.0,2018-03-27 14:15:00
2018-03-27 14:20:00,61.48,61.505,61.44,61.44,38208.0,2018-03-27 14:20:00
2018-03-27 14:25:00,61.535,61.535,61.41,61.475,23360.0,2018-03-27 14:25:00
2018-03-27 14:30:00,61.48,61.55,61.48,61.54,22396.0,2018-03-27 14:30:00
2018-03-27 14:35:00,61.41,61.49,61.4,61.48,31550.0,2018-03-27 14:35:00
2018-03-27 14:40:00,61.39,61.46,61.39,61.42,39435.0,2018-03-27 14:40:00
2018-03-27 14:45:00,61.42,61.445,61.38,61.39,24121.0,2018-03-27 14:45:00
2018-03-27 14:50:00,61.3,61.41,61.27,61.41,53017.0,2018-03-27 14:50:00
2018-03-27 14:55:00,61.345,61.35,61.27,61.29,28296.0,2018-03-27 14:55:00
2018-03-27 15:00:00,61.24,61.34,61.22,61.34,35265.0,2018-03-27 15:00:00
2018-03-27 15:05:00,61.225,61.23,61.11,61.23,54262.0,2018-03-27 15:05:00
2018-03-27 15:10:00,61.28,61.3,61.16,61.21,51740.0,2018-03-27 15:10:00
2018-03-27 15:15:00,61.149,61.29,61.115,61.27,40698.0,2018-03-27 15:15:00
2018-03-27 15:20:00,61.18,61.25,61.15,61.15,53286.0,2018-03-27 15:20:00
2018-03-27 15:25:00,61.36,61.365,61.18,61.19,51979.0,2018-03-27 15:25:00
2018-03-27 15:30:00,61.39,61.44,61.31,61.36,130892.0,2018-03-27 15:30:00
2018-03-27 15:35:00,61.27,61.4,61.25,61.385,43352.0,2018-03-27 15:35:00
2018-03-27 15:40:00,61.15,61.265,61.11,61.26,56481.0,2018-03-27 15:40:00
2018-03-27 15:45:00,61.2265,61.2525,61.14,61.15,80111.0,2018-03-27 15:45:00
2018-03-27 15:50:00,61.26,61.27,61.2,61.225,37395.0,2018-03-27 15:50:00
2018-03-27 15:55:00,61.255,61.335,61.25,61.26,53208.0,2018-03-27 15:55:00
2018-03-27 16:00:00,61.09,61.245,61.045,61.245,67703.0,2018-03-27 16:00:00
2018-03-28 09:35:00,61.1,61.17,61.1,61.1,56324.0,2018-03-28 09:35:00
2018-03-28 09:40:00,60.95,61.1,60.94,61.1,53539.0,2018-03-28 09:40:00
2018-03-28 09:45:00,60.82,60.97,60.8,60.96,71860.0,2018-03-28 09:45:00
2018-03-28 09:50:00,60.8,60.86,60.61,60.83,105154.0,2018-03-28 09:50:00
2018-03-28 09:55:00,60.7,60.84,60.64,60.82,67662.0,2018-03-28 09:55:00
2018-03-28 10:00:00,60.76,60.83,60.69,60.69,67098.0,2018-03-28 10:00:00
2018-03-28 10:05:00,60.64,60.75,60.61,60.75,161274.0,2018-03-28 10:05:00
2018-03-28 10:10:00,60.35,60.645,60.325,60.645,230069.0,2018-03-28 10:10:00
2018-03-28 10:15:00,60.19,60.4,60.0,60.35,109273.0,2018-03-28 10:15:00
2018-03-28 10:20:00,60.33,60.3799,60.19,60.19,102842.0,2018-03-28 10:20:00
2018-03-28 10:25:00,60.11,60.33,60.09,60.32,171596.0,2018-03-28 10:25:00
2018-03-28 10:30:00,60.05,60.21,59.985,60.11,193828.0,2018-03-28 10:30:00
2018-03-28 10:35:00,60.12,60.31,60.03,60.055,197241.0,2018-03-28 10:35:00
2018-03-28 10:40:00,60.28,60.33,60.04,60.11,371009.0,2018-03-28 10:40:00
2018-03-28 10:45:00,60.46,60.71,60.39,60.53,198242.0,2018-03-28 10:45:00
2018-03-28 10:50:00,60.14,60.49,60.14,60.46,75638.0,2018-03-28 10:50:00
2018-03-28 10:55:00,60.175,60.205,60.0,60.16,108383.0,2018-03-28 10:55:00
2018-03-28 11:00:00,60.385,60.39,60.12,60.17,83104.0,2018-03-28 11:00:00
2018-03-28 11:05:00,60.36,60.4325,60.31,60.385,71958.0,2018-03-28 11:05:00
2018-03-28 11:10:00,60.28,60.38,60.26,60.345,61896.0,2018-03-28 11:10:00
2018-03-28 11:15:00,60.165,60.345,60.15,60.29,139555.0,2018-03-28 11:15:00
2018-03-28 11:20:00,60.125,60.23,60.09,60.17,91318.0,2018-03-28 11:20:00
2018-03-28 11:25:00,59.91,60.13,59.89,60.12,103093.0,2018-03-28 11:25:00
2018-03-28 11:30:00,59.845,59.9756,59.8,59.905,63792.0,2018-03-28 11:30:00
2018-03-28 11:35:00,59.77,59.975,59.76,59.845,60693.0,2018-03-28 11:35:00
2018-03-28 11:40:00,59.785,59.84,59.69,59.77,79259.0,2018-03-28 11:40:00
2018-03-28 11:45:00,59.63,59.835,59.63,59.785,56770.0,2018-03-28 11:45:00
2018-03-28 11:50:00,59.64,59.7,59.585,59.63,76345.0,2018-03-28 11:50:00
2018-03-28 11:55:00,59.58,59.635,59.46,59.635,88817.0,2018-03-28 11:55:00
2018-03-28 12:00:00,59.44,59.59,59.33,59.59,89755.0,2018-03-28 12:00:00
2018-03-28 12:05:00,59.58,59.625,59.35,59.445,60427.0,2018-03-28 12:05:00
2018-03-28 12:10:00,59.55,59.61,59.51,59.57,90698.0,2018-03-28 12:10:00
2018-03-28 12:15:00,59.72,59.765,59.54,59.55,90831.0,2018-03-28 12:15:00
2018-03-28 12:20:00,59.805,59.815,59.675,59.72,73811.0,2018-03-28 12:20:00
2018-03-28 12:25:00,59.68,59.86,59.66,59.8095,59527.0,2018-03-28 12:25:00
2018-03-28 12:30:00,59.59,59.68,59.48,59.68,74796.0,2018-03-28 12:30:00
2018-03-28 12:35:00,59.415,59.595,59.375,59.595,66532.0,2018-03-28 12:35:00
2018-03-28 12:40:00,59.485,59.55,59.4,59.41,71753.0,2018-03-28 12:40:00
2018-03-28 12:45:00,59.45,59.51,59.32,59.48,86251.0,2018-03-28 12:45:00
2018-03-28 12:50:00,59.535,59.59,59.43,59.455,38768.0,2018-03-28 12:50:00
2018-03-28 12:55:00,59.62,59.66,59.505,59.53,84415.0,2018-03-28 12:55:00
2018-03-28 13:00:00,59.6,59.64,59.52,59.61,55633.0,2018-03-28 13:00:00
2018-03-28 13:05:00,59.51,59.63,59.5,59.61,43495.0,2018-03-28 13:05:00
2018-03-28 13:10:00,59.525,59.69,59.51,59.53,55635.0,2018-03-28 13:10:00
2018-03-28 13:15:00,59.51,59.62,59.505,59.54,51541.0,2018-03-28 13:15:00
2018-03-28 13:20:00,59.62,59.66,59.505,59.505,44559.0,2018-03-28 13:20:00
2018-03-28 13:25:00,59.85,59.85,59.615,59.615,37041.0,2018-03-28 13:25:00
2018-03-28 13:30:00,60.06,60.06,59.8,59.85,44811.0,2018-03-28 13:30:00
2018-03-28 13:35:00,59.95,60.11,59.92,60.06,63524.0,2018-03-28 13:35:00
2018-03-28 13:40:00,59.81,60.0193,59.81,59.96,32771.0,2018-03-28 13:40:00
2018-03-28 13:45:00,59.76,59.88,59.76,59.82,46707.0,2018-03-28 13:45:00
2018-03-28 13:50:00,59.815,59.87,59.77,59.77,50916.0,2018-03-28 13:50:00
2018-03-28 13:55:00,59.84,59.91,59.81,59.815,74573.0,2018-03-28 13:55:00
2018-03-28 14:00:00,59.65,59.85,59.601,59.835,198506.0,2018-03-28 14:00:00
2018-03-28 14:05:00,59.46,59.65,59.46,59.65,236387.0,2018-03-28 14:05:00
2018-03-28 14:10:00,59.32,59.47,59.32,59.45,88925.0,2018-03-28 14:10:00
2018-03-28 14:15:00,59.32,59.33,59.22,59.32,93546.0,2018-03-28 14:15:00
2018-03-28 14:20:00,59.45,59.48,59.31,59.32,67970.0,2018-03-28 14:20:00
2018-03-28 14:25:00,59.42,59.48,59.36,59.46,51475.0,2018-03-28 14:25:00
2018-03-28 14:30:00,59.36,59.44,59.29,59.42,47034.0,2018-03-28 14:30:00
2018-03-28 14:35:00,59.54,59.58,59.35,59.37,42233.0,2018-03-28 14:35:00
2018-03-28 14:40:00,59.51,59.595,59.49,59.56,66509.0,2018-03-28 14:40:00
2018-03-28 14:45:00,59.5,59.52,59.4,59.51,59967.0,2018-03-28 14:45:00
2018-03-28 14:50:00,59.47,59.51,59.43,59.5,100911.0,2018-03-28 14:50:00
2018-03-28 14:55:00,59.48,59.515,59.41,59.47,79949.0,2018-03-28 14:55:00
2018-03-28 15:00:00,59.65,59.69,59.48,59.48,47523.0,2018-03-28 15:00:00
2018-03-28 15:05:00,59.61,59.66,59.555,59.65,49975.0,2018-03-28 15:05:00
2018-03-28 15:10:00,59.68,59.71,59.58,59.62,44773.0,2018-03-28 15:10:00
2018-03-28 15:15:00,59.59,59.75,59.535,59.69,69742.0,2018-03-28 15:15:00
2018-03-28 15:20:00,59.56,59.61,59.51,59.585,53965.0,2018-03-28 15:20:00
2018-03-28 15:25:00,59.56,59.58,59.46,59.56,47153.0,2018-03-28 15:25:00
2018-03-28 15:30:00,59.64,59.69,59.56,59.56,42110.0,2018-03-28 15:30:00
2018-03-28 15:35:00,59.59,59.73,59.59,59.6376,65626.0,2018-03-28 15:35:00
2018-03-28 15:40:00,59.45,59.66,59.45,59.58,47478.0,2018-03-28 15:40:00
2018-03-28 15:45:00,59.52,59.52,59.43,59.45,184270.0,2018-03-28 15:45:00
2018-03-28 15:50:00,59.67,59.67,59.46,59.53,82808.0,2018-03-28 15:50:00
2018-03-28 15:55:00,59.57,59.71,59.54,59.68,58017.0,2018-03-28 15:55:00
2018-03-28 16:00:00,59.56,59.6,59.514,59.56,45661.0,2018-03-28 16:00:00
